Timestamp,Latency_ms,Traffic,Fault_Status,Recovery_Action
2026-05-04 05:08:45,50,320,High CPU Usage,Executing Script: Killing Zombie Processes to free CPU...
2026-05-04 05:09:32,869,1094,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:09:47,951,1217,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:09:50,556,1402,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:10:05,226,1162,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:10:14,534,1467,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:10:29,414,1348,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:10:35,854,1178,Node Down!,Executing Script: Remote Rebooting Downed Node...
2026-05-04 05:10:50,460,803,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:11:02,222,978,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:11:17,478,1206,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:11:20,249,1180,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:11:38,732,1497,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:11:41,773,944,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:15:36,383,1399,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:15:39,795,836,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:16:21,563,1287,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:16:30,845,929,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:16:36,775,1315,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-05-04 05:16:51,816,926,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:42:02,349,1127,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:42:17,826,1027,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:42:23,207,888,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:42:35,564,951,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:42:56,353,1186,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:43:08,512,1175,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:43:17,193,872,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:43:23,679,1424,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:43:32,155,827,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:43:38,558,1327,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:43:44,748,931,Node Down!,Executing Script: Remote Rebooting Downed Node...
2026-08-16 22:43:53,212,935,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:52:23,278,866,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
2026-08-16 22:52:26,332,1232,Congestion Detected,Executing Script: Rerouting Traffic to Backup Path...
